ID,Particle ID,Particle_Polygon_Area,Particle_Polygon_Length,Convex_Hull_Area,Convex_Hull_Length,Maximum_Dimension_Length,Maximum_Dimension_Angle,Paris_Factor,Area_Delta_Factor,Angularity,Min_Rect_Min_Length,Min_Rect_Min_Length_Angle,Min_Rect_Max_Length,Min_Rect_Max_Length_Angle,EncloseLengthDelta,FormIndex
8501,10673,3074.3445933210314,253.24620320480727,3462.434505832281,225.0559146723196,77.3554861838031,140.54483298187156,25.051808634785363,12.623500740755258,19.009721785498733,59.77057247690777,37.10000000000005,77.31741891106279,127.10000000000005,18.0702369091631,0.16406305316840486
8502,10674,48.3912427893639,27.016278493345474,49.46446609406727,26.796170372427483,9.124955240679409,170.9891455864413,1.642832672421556,2.2178047986386016,31.556732225953635,6.000000000000192,89.99999999999805,10.000000000000053,180.0,31.556732225953635,0.06828634250989515
8503,10675,117.17004871165135,45.484605027369824,126.42893218813451,44.00135037544989,17.07585527804174,126.66169140330992,6.741859689594902,7.902090660787157,48.74552154643131,9.399494936611669,45.000000000000064,17.884776310850235,135.00000000000006,48.74552154643131,0.1510784884734206
8504,10676,25.568019484660528,19.61312592975275,25.568019484660528,19.61312592975275,6.462324805381714,159.72586777264843,0.0,0.0,32.196267056054126,5.000000000000054,89.99999999999805,7.000000000000089,180.0,32.196267056054126,0.07877233949167123
8505,10677,782.0545635173694,123.36459031427373,850.8756313292351,115.34815449030458,47.40493837639786,131.0571082931102,13.899547607661042,8.800034041401927,36.59462987796527,24.24628636463953,54.100000000000065,47.53798574930646,144.10000000000008,34.18302893247308,0.16239779390033496
8506,10678,1044.345932572581,139.6645063849643,1155.544155877284,133.79096781438201,48.997659758074995,117.121517894056,8.78017203482837,10.647642685865963,25.938897875245065,32.81859149894111,25.80000000000003,49.98436130089786,115.80000000000005,25.928147163090586,0.19224463441886533
8507,7020,13.467068004088675,14.80081675874507,14.659009742330266,14.573228379511674,4.245447419025514,107.59680372206705,3.123376280212001,8.850788737977044,19.483576590369847,3.560998342233071,14.800000000000004,5.2391993615061985,104.80000000000001,19.483576590369847,0.1300595719439956
8508,7021,35.80285444171558,25.315721292737805,39.24479617995716,24.770535299306967,8.766577648763208,157.14785712226006,4.4018910923260615,9.613595876398096,62.443936587960145,5.878158994760566,71.59999999999918,9.737107196562143,161.59999999999917,62.443936587960145,0.22600149840327644
8509,7027,1.792893218813452,6.397824734759316,1.792893218813452,6.397824734759316,2.0,90.0,0.0,0.0,92.97182761839575,1.0,0.0,3.0,90.0,92.97182761839575,0.19838045024966927
8510,7029,19.113514613495404,16.69187950603496,19.607233047033628,16.58162464716393,5.0521632212325835,82.47204630016591,1.3298438629159084,2.5830855471741736,4.704816515437357,4.579234158423894,132.79999999999538,5.145102841275309,42.79999999999537,4.704816515437357,0.044018404795252104
8511,10680,369.11674785275227,76.70338703933373,392.0147186257614,74.60621969769916,27.115723418500014,60.62156641261206,5.621963825890645,6.203449425205595,17.839498848031656,19.89964054580509,163.29999999999347,27.56222050456735,73.29999999999347,17.839498848031656,0.08218622328441907
8512,7037,42.58686418404586,28.941667369602747,46.85202922699081,28.192717353377148,10.126886889178612,148.62607031951336,5.31307434354769,10.01521272971019,86.86630248695668,5.231339211390985,68.1999999999994,11.064784649503293,158.1999999999994,86.86630248695668,0.21194612367417495
8513,7038,83.91376714518952,40.06486235432641,93.70926227402444,39.003881228331835,14.104660128420052,139.583747943164,5.440387431104637,11.673287306821209,50.738693869663905,8.72566108917514,60.29999999999988,14.84123625033327,150.2999999999999,50.738693869663905,0.2101332009781707
8514,7041,561.9347673374131,107.23091915027338,622.1832431738104,103.71666674448558,42.883550235643334,148.70832708817525,6.776639697543398,10.72161384885823,133.04087546043203,17.68181209474419,47.900000000000055,43.10505637356367,137.9000000000001,133.04087546043203,0.2820550390353872
8515,10682,10.232233047033631,12.327867588934996,10.232233047033631,12.327867588934996,3.383430858821347,114.14303446953879,0.0,0.0,17.132841591962233,3.1099092865360207,42.70000000000005,4.155526253979071,132.70000000000007,17.132841591962233,0.05286490891270304
8516,10683,22.275126265847085,17.613125929752755,22.275126265847085,17.613125929752755,5.533474688174375,23.314322300860912,0.0,0.0,9.220035671402883,4.449747468305992,134.99999999999523,6.071067811865676,44.99999999999524,9.220035671402883,0.034222310326480807
8517,10684,90.6966991411009,37.95615003153995,94.23959235991434,37.250421978291556,12.356399151051221,149.43023254301005,3.78910098607565,3.906308887053993,24.596007828853754,9.210653263564723,63.3999999999997,13.324353395094814,153.3999999999997,24.596007828853754,0.08226025603131783
8518,10685,39.251077746418936,26.21889748137788,41.6715728752538,25.831452252190843,9.382690043129196,105.60448091023565,2.9997944010614157,6.166697241977512,50.04588197626557,5.229215771259835,22.700000000000035,10.307736019131614,112.70000000000005,50.04588197626557,0.17257822845828172
8519,10686,124.50215549283784,42.59594750047971,128.72182540694797,41.953696545459024,14.282832563286677,144.87624071004217,3.061713307311421,3.3892344252247666,11.73270070939626,11.299558777365252,58.99999999999997,15.243266055083755,148.99999999999997,11.73270070939626,0.04609511883828779
8520,10687,117.6914953210581,51.79569202529949,134.0716991411009,49.37186637578989,20.390768362951707,65.7285485654441,9.818651095994007,13.917916307680697,122.94918581654807,8.405657739299867,153.4999999999941,21.374589776382035,63.499999999994095,122.56068409212165,0.466019412033119
8521,10688,46.778805922287454,29.513914138658215,53.27512626584708,28.576777403459122,10.11371758799734,8.203379126881282,6.558729292447483,13.887315452967762,58.17884833717768,6.000000000000259,89.99999999999805,11.000000000000021,180.0,58.11524686968679,0.2655559397644546
8522,10690,240.22182540694791,62.16977365170855,255.36091270347399,60.78831010724195,21.49240131484327,34.664158280328515,4.545161864277672,6.302128156290418,28.36048038846663,15.826113598172665,97.0999999999976,20.28632713271456,7.0999999999976,28.36048038846663,0.1161218581064816
8523,10691,48.934136008177354,26.814565795036454,50.860912703473986,26.53399985847223,8.364095872053811,16.02986676666408,2.1147654937869373,3.937489966052836,15.078980208720193,6.783139059386409,101.29999999999733,9.332206809207069,11.299999999997311,15.078980208720193,0.05594030021415312
